status,ref_type,duration,is_relevant
1,1,4187,1
1,5,5902,1
1,1,15653,1
1,5,5337,1
1,5,5120,1
1,1,6246,1
1,5,4694,1
1,1,15203,1
1,1,15240,1
1,1,5077,1
1,5,5301,1
1,1,6122,1
1,1,4705,1
1,1,4741,1
1,5,3141,1
1,1,15418,1
1,1,15077,1
1,1,15157,1
1,1,2854,1
1,1,15536,1
1,5,2902,1
1,5,2202,1
1,1,6586,1
1,1,4914,1
1,5,2815,1
1,1,15306,1
1,5,4718,1
1,5,2754,1
1,1,4704,1
1,1,4923,1
1,1,4674,1
1,1,4820,1
1,1,4885,1
1,5,2749,1
1,1,5985,1
1,1,5853,1
1,1,6304,1
1,5,14509,1
1,5,7371,1
1,1,15600,1
1,3,5716,1
1,1,5873,1
1,1,4708,1
1,5,3098,1
1,5,2891,1
1,1,6029,1
1,1,4788,1
1,0,7896,1
1,1,15227,1
1,1,15582,1
1,5,4893,1
1,1,6057,1
1,5,2977,1
2,1,6349,1
1,1,4571,1
1,3,5752,1
1,1,6827,1
1,1,3988,1
1,1,2201,1
1,1,15510,1
1,1,16269,1
1,5,5683,1
1,2,804,1
1,1,5235,1
1,5,2517,1
1,5,3039,1
1,1,16068,1
1,5,5633,1
1,5,5592,1
1,1,15376,1
1,1,6005,1
1,1,15154,1
1,1,15200,1
1,1,15112,1
1,5,2921,1
1,5,3121,1
1,1,4020,1
1,1,5272,1
1,1,4851,1
1,5,2764,1
1,1,8852,1
1,5,5618,1
1,1,6255,1
1,1,6141,1
1,1,15521,1
1,1,15405,1
1,1,15192,1
1,1,15161,1
1,1,15194,1
1,1,15195,1
1,1,15432,1
1,1,5739,1
1,1,15232,1
1,1,15121,1
1,1,15107,1
1,1,15766,1
1,1,15422,1
1,5,5603,1
1,1,5162,1
1,1,5658,1
1,5,7329,1
1,2,5752,1
1,5,4646,1
1,5,5392,1
1,5,2902,1
1,1,6491,1
1,1,6439,1
1,1,6574,1
1,1,6503,1
1,1,6555,1
1,1,5909,1
1,1,5678,1
1,5,5243,1
1,1,6692,1
1,1,4743,1
1,2,5132,1
1,1,5857,1
1,5,7752,1
1,1,5240,1
1,5,4723,1
1,1,6140,1
2,1,2407,1
1,5,3528,1
1,5,6857,1
1,1,8291,1
1,5,3347,1
1,5,4744,1
1,5,2397,1
1,1,4964,1
1,1,4609,1
1,1,6592,1
1,1,2480,1
1,1,8575,1
1,2,2194,1
1,5,5025,1
1,1,5258,1
1,5,4895,1
1,5,2821,1
1,5,7322,1
1,1,5963,1
1,5,15089,1
1,0,3447,1
1,5,4610,1
1,5,5525,1
1,1,4600,1
1,1,5122,1
1,1,4787,1
1,1,4596,1
1,5,5493,1
1,5,5617,1
1,5,4881,1
1,5,5617,1
1,1,15740,1
1,1,15357,1
1,5,807,1
1,5,2357,1
2,5,5105,1
1,1,2663,1
1,0,2811,1
1,1,2329,1
1,5,3116,1
1,5,2770,1
1,1,6421,1
1,1,6209,1
1,4,7351,1
1,5,7687,1
1,1,4704,1
1,1,4640,1
1,1,4676,1
1,5,3089,1
1,1,4781,1
1,1,15418,1
1,1,4816,1
1,1,4707,1
1,1,4785,1
1,1,4642,1
1,1,5658,1
2,5,5335,1
1,5,5285,1
1,5,5555,1
1,5,3297,1
1,1,5155,1
1,5,6355,1
1,5,5234,1
1,1,5343,1
2,1,1591,1
1,1,6448,1
1,1,6545,1
1,1,6705,1
1,5,5247,1
1,2,6162,1
1,5,5837,1
1,5,3648,1
1,1,5993,1
1,2,5718,1
1,2,5863,1
1,2,5826,1
1,1,8392,1
1,5,2700,1
1,5,5062,1
2,5,4658,1
1,5,2700,1
1,5,2189,1
1,5,5291,1
2,1,6893,1
1,1,5293,1
1,5,3349,1
1,5,5365,1
1,1,15450,1
1,1,6313,1
1,5,3049,1
1,1,15289,1
1,1,15061,1
1,1,15171,1
1,5,5451,1
1,1,15387,1
1,1,6609,1
1,1,5261,1
1,1,2227,1
1,1,2270,1
1,1,2461,1
1,5,7882,1
1,5,2581,1
1,5,2336,1
1,5,4727,1
1,5,5364,1
1,5,4748,1
1,5,4962,1
1,1,6771,1
1,5,4542,1
2,1,6997,1
1,5,5251,1
1,5,5468,1
1,1,6429,1
1,5,5415,1
1,5,3702,1
1,5,2908,1
1,5,5263,1
1,5,4988,1
1,5,2488,1
1,1,5835,1
1,5,4978,1
1,1,5871,1
1,1,6002,1
1,1,6228,1
1,1,6458,1
1,5,5571,1
1,5,5381,1
1,5,2576,1
1,5,2856,1
1,5,3431,1
1,5,7445,1
1,1,8766,1
1,5,6256,1
1,2,2018,1
1,5,2629,1
1,5,5654,1
1,5,5339,1
1,1,5915,1
1,5,4649,1
1,2,4958,1
1,1,5225,1
1,2,5552,1
1,1,6193,1
1,2,5875,1
1,1,15232,1
1,5,7864,1
1,5,3422,1
1,1,6550,1
1,5,5421,1
1,1,5782,1
1,1,6791,1
1,1,6523,1
1,1,6509,1
1,1,6501,1
1,5,5228,1
1,1,6675,1
1,1,3733,1
1,1,6333,1
1,1,6338,1
1,1,5844,1
1,1,6382,1
1,2,5656,1
1,5,2954,1
1,5,6045,1
1,5,5781,1
1,1,6799,1
1,5,3403,1
1,1,6390,1
1,2,5846,1
1,5,3302,1
1,5,4676,1
1,5,2797,1
1,5,5376,1
1,2,4978,1
1,5,4551,1
1,5,4855,1
1,5,4982,1
1,2,6222,1
1,5,14749,1
1,1,1417,1
1,5,2063,1
1,1,5889,1
1,5,2831,1
1,5,5282,1
1,1,4007,1
1,2,5857,1
1,2,5876,1
1,1,6106,1
1,5,2406,1
1,5,7560,1
1,5,2401,1
1,1,1932,1
1,5,5392,1
1,5,2555,1
1,5,2689,1
1,2,2259,1
1,2,5045,1
1,5,3192,1
2,5,2327,1
1,5,904,1
1,1,5765,1
1,5,5141,1
1,1,6525,1
1,5,2629,1
1,5,5344,1
1,5,2160,1
1,2,6074,1
1,5,2126,1
1,5,5099,1
1,1,6259,1
1,5,2157,1
1,5,2659,1
1,1,5955,1
1,5,5390,1
1,5,5456,1
1,1,6128,1
1,5,5439,1
1,5,5564,1
1,1,6277,1
1,5,5554,1
1,1,5045,1
1,5,5296,1
1,1,5748,1
1,1,5365,1
2,5,2243,1
1,1,6077,1
1,5,1527,1
1,5,1736,1
1,1,6649,1
1,5,4988,1
1,5,5447,1
1,1,6408,1
1,5,2845,1
1,1,6247,1
1,5,3407,1
1,5,7620,1
1,5,5429,1
1,1,5256,1
1,5,807,1
1,5,1939,1
1,5,4474,1
1,1,5381,1
1,4,6667,1
1,1,2181,1
1,1,910,1
1,5,5472,1
1,5,2823,1
1,1,718,1
1,5,2462,1
1,5,2516,1
1,5,6326,1
1,1,6224,1
1,1,6030,1
1,1,6253,1
1,5,3580,1
1,5,5408,1
1,1,6015,1
1,1,6042,1
1,1,6667,1
1,1,5814,1
1,5,2120,1
1,1,15102,1
1,1,15168,1
1,1,7484,1
1,5,3547,1
1,5,3398,1
1,1,15074,1
1,1,15133,1
1,2,5710,1
1,5,6345,1
1,5,6308,1
1,2,5905,1
1,5,3378,1
1,5,5824,1
1,1,4572,1
1,1,4239,1
1,1,4177,1
1,1,4044,1
1,1,878,1
1,5,5017,1
1,1,15221,1
2,5,1976,1
1,5,611,1
1,5,4921,1
1,1,15116,1
1,1,3892,1
1,5,4578,1
1,5,3303,1
1,0,4588,1
1,5,4493,1
1,1,15244,1
1,5,6061,1
1,5,4775,1
1,5,6206,1
1,5,6784,1
1,2,5884,1
1,5,5199,1
1,5,5544,1
1,5,6696,1
1,5,5009,1
1,5,2701,1
1,5,2551,1
1,5,5266,1
1,1,6031,1
1,5,2227,1
1,5,3190,1
1,5,2860,1
1,5,5358,1
1,5,7596,1
1,1,6096,1
1,5,3270,1
1,5,3078,1
1,5,14846,1
1,1,5203,1
1,5,4903,1
1,5,3219,1
1,0,1922,1
1,1,5424,1
1,2,4818,1
1,2,4775,1
1,5,7296,1
1,5,5371,1
1,1,6043,1
1,4,6492,1
1,5,2006,1
1,4,6788,1
1,5,2885,1
1,1,6247,1
1,5,5235,1
1,5,5366,1
1,1,2237,1
1,5,5931,1
1,5,5700,1
1,5,3246,1
1,5,7048,1
1,3,6563,1
1,5,2421,1
1,1,5848,1
1,5,1250,1
1,5,2781,1
1,1,15302,1
1,5,5267,1
1,5,5137,1
1,1,15289,1
1,5,2429,1
1,1,15206,1
1,1,15110,1
1,1,15170,1
1,5,1877,1
1,1,15100,1
1,1,15163,1
1,1,15098,1
1,5,5270,1
1,5,6115,1
1,1,15228,1
1,2,5972,1
1,1,15459,1
1,1,5883,1
1,2,5989,1
1,5,5498,1
1,5,5587,1
1,5,3358,1
2,5,2454,1
1,5,2491,1
1,5,6032,1
1,5,5667,1
1,0,3862,1
1,1,5770,1
1,5,5543,1
1,5,2304,1
1,1,5547,1
1,5,5299,1
1,5,2387,1
1,5,4773,1
1,1,5881,1
1,5,2542,1
1,5,4290,1
2,5,2182,1
1,1,5473,1
1,2,4897,1
1,2,4949,1
1,5,2512,1
1,5,1355,1
1,1,4230,1
1,0,3122,1
1,5,2181,1
1,5,5231,1
1,1,6417,1
1,5,5088,1
1,5,5754,1
1,5,5561,1
1,5,6795,1
1,5,5422,1
1,5,5279,1
1,5,2130,1
1,5,5441,1
1,1,5832,1
1,5,5641,1
1,5,5669,1
1,5,2979,1
1,5,5367,1
1,1,6232,1
1,5,8231,1
1,5,5173,1
1,1,2348,1
1,5,5065,1
1,5,5448,1
1,5,5501,1
1,0,5144,1
1,5,4430,1
1,5,5476,1
1,1,5572,1
1,5,5381,1
1,1,5209,1
1,5,5253,1
2,3,6723,1
1,5,5642,1
1,5,2968,1
1,2,5380,1
1,5,2343,1
2,5,2402,1
1,5,2753,1
1,0,4880,1
1,5,5208,1
1,5,9066,1
1,5,4657,1
1,1,5553,1
1,5,2782,1
1,5,5182,1
1,1,5450,1
1,5,5382,1
1,1,5953,1
1,5,2332,1
1,4,6498,1
1,1,6140,1
1,4,6714,1
1,2,5599,1
1,2,5680,1
1,1,7017,1
1,5,6256,1
1,1,1386,1
1,1,5582,1
1,2,6184,1
1,2,5827,1
1,1,5888,1
1,5,3307,1
1,5,2153,1
1,1,1996,1
1,1,5756,1
1,1,2359,1
1,1,7424,1
1,1,5698,1
1,2,5599,1
1,1,1910,1
1,1,5666,1
1,1,6001,1
1,5,5102,1
1,1,6726,1
1,5,5218,1
1,1,7319,1
1,1,5757,1
1,1,3959,1
1,1,5695,1
1,5,3690,1
1,1,2068,1
1,1,2010,1
1,2,5719,1
1,5,5688,1
1,5,6329,1
1,5,3266,1
1,5,4765,1
1,5,5358,1
1,1,4605,1
1,5,6127,1
1,5,5454,1
1,2,4951,1
1,5,4644,1
1,0,4932,1
1,1,5871,1
1,1,6187,1
1,5,2030,1
1,1,2306,1
2,5,2912,1
1,5,5592,1
1,5,4872,1
1,5,5107,1
1,5,1567,1
1,5,1824,1
1,5,3492,1
1,5,2083,1
1,1,5800,1
1,1,2296,1
2,0,1990,1
1,5,4937,1
2,5,1180,1
1,5,5479,1
1,1,5786,1
1,1,2322,1
1,5,1968,1
1,5,5248,1
1,5,6170,1
1,5,3115,1
1,5,2728,1
1,5,2358,1
1,5,5537,1
1,5,6272,1
1,5,6673,1
1,5,6887,1
1,5,2464,1
1,5,2286,1
1,5,6573,1
1,5,5479,1
1,5,5243,1
1,1,6026,1
1,5,5126,1
1,5,2588,1
1,5,5940,1
1,2,2287,1
1,1,2572,1
2,1,2432,1
1,5,2398,1
2,5,2304,1
2,5,2475,1
1,5,2454,1
1,5,5070,1
1,5,3278,1
1,2,5726,1
1,5,4981,1
1,5,2060,1
1,1,5863,1
1,1,6057,1
1,5,2385,1
1,2,5681,1
1,5,5281,1
1,5,2191,1
1,5,5519,1
1,5,5791,1
1,5,5107,1
1,5,5413,1
1,5,2712,1
1,5,2262,1
2,5,5010,1
1,2,5756,1
1,1,6174,1
1,5,5512,1
1,5,5359,1
1,5,5242,1
1,5,5262,1
1,5,5682,1
2,5,5372,1
1,5,5557,1
1,5,3209,1
1,5,2231,1
1,5,6408,1
1,5,5857,1
1,5,4756,1
1,2,5035,1
1,2,4855,1
1,5,4923,1
1,3,5920,1
2,1,7689,1
1,5,1632,1
1,5,4746,1
1,5,2260,1
1,5,4693,1
1,5,2837,1
1,5,3071,1
1,5,5259,1
1,5,5578,1
1,5,5965,1
1,5,5372,1
1,5,2766,1
1,5,5438,1
1,4,6924,1
1,4,6796,1
1,3,6198,1
1,5,3971,1
2,1,8295,1
1,5,6202,1
1,5,2133,1
1,1,966,1
1,5,5624,1
1,3,5285,1
1,5,2059,1
1,5,2804,1
1,5,2552,1
1,5,5394,1
1,5,5270,1
1,5,5193,1
1,1,2024,1
1,1,7371,1
1,1,2119,1
1,1,5820,1
1,1,2049,1
1,1,6049,1
1,1,2128,1
1,1,5975,1
1,5,5232,1
1,1,5766,1
1,5,5418,1
1,1,5592,1
1,1,2137,1
1,1,5665,1
1,2,5907,1
2,2,5891,1
1,1,1955,1
1,1,2051,1
1,1,5770,1
1,5,5172,1
1,1,2036,1
1,5,5513,1
1,5,5522,1
1,1,6321,1
1,1,1878,1
1,2,6304,1
1,2,5893,1
1,1,7410,1
1,1,3359,1
1,2,6340,1
1,2,5943,1
2,5,5790,1
2,0,2765,1
1,1,5358,1
1,2,5026,1
1,5,4591,1
1,5,5459,1
1,1,7835,1
1,5,4887,1
1,2,3006,1
1,5,4442,1
1,5,6470,1
1,0,4997,1
1,1,5732,1
1,1,4450,1
1,5,4611,1
1,0,995,1
1,5,1817,1
1,5,4728,1
1,0,1837,1
1,5,4484,1
1,1,5380,1
1,5,2506,1
2,5,1620,1
1,5,5154,1
1,5,2517,1
2,5,2802,1
1,3,5415,1
3,5,5,1
1,5,2783,1
1,0,6684,1
1,5,2237,1
1,5,3852,1
2,5,2928,1
1,5,2742,1
1,5,6059,1
2,5,2738,1
1,5,4167,1
1,5,3262,1
1,5,6223,1
1,5,2920,1
1,5,2646,1
1,5,2393,1
2,5,2718,1
1,5,2611,1
1,5,2504,1
1,5,2356,1
2,5,1495,1
1,5,8023,1
1,5,1315,1
1,5,2640,1
1,5,2122,1
1,5,2319,1
1,5,2210,1
1,5,2457,1
1,5,5317,1
2,5,2473,1
2,5,5083,1
1,5,2187,1
1,2,5699,1
1,5,2366,1
1,5,2337,1
2,5,2082,1
1,5,3387,1
1,2,5957,1
1,5,5355,1
1,5,2448,1
1,5,8163,1
1,1,3890,1
1,5,5281,1
1,1,5987,1
1,2,5945,1
1,1,6243,1
1,5,2947,1
1,0,3194,1
1,5,3235,1
1,1,5515,1
2,5,2294,1
1,5,2327,1
1,5,5837,1
2,5,2452,1
1,5,6570,1
1,5,5642,1
1,5,5066,1
1,2,4877,1
1,2,4925,1
1,5,2385,1
1,5,2278,1
1,5,2339,1
1,5,7872,1
1,5,4557,1
1,5,5324,1
1,5,1299,1
1,5,3810,1
1,5,1032,1
1,5,3208,1
1,2,5146,1
1,5,3178,1
1,5,5330,1
1,5,3552,1
1,5,6071,1
1,5,6787,1
1,1,4549,1
1,2,4891,1
2,0,1288,1
1,5,5126,1
1,5,5195,1
1,5,4897,1
1,5,5327,1
1,5,5372,1
1,2,5056,1
1,2,4826,1
1,5,840,1
2,5,5703,1
1,5,1771,1
1,5,2176,1
1,5,4805,1
1,5,1958,1
1,5,4829,1
1,3,4471,1
2,1,6997,1
2,5,1718,1
1,5,4878,1
1,5,4671,1
1,5,4815,1
1,5,2407,1
1,3,6402,1
1,5,5511,1
1,5,6355,1
1,3,6175,1
2,1,958,1
1,4,6509,1
2,1,705,1
1,3,5845,1
1,3,6120,1
1,5,6169,1
1,3,5963,1
1,5,6896,1
1,5,5925,1
1,5,6155,1
1,5,2399,1
1,5,5305,1
1,5,7155,1
1,5,2607,1
1,2,5795,1
1,2,5574,1
1,2,5696,1
1,2,5717,1
1,2,5601,1
1,2,5660,1
1,2,5660,1
1,2,5803,1
1,2,5853,1
2,2,2027,1
1,2,5740,1
1,2,5627,1
1,2,5611,1
1,1,2344,1
1,1,5700,1
1,2,5748,1
1,5,2762,1
1,2,5584,1
1,5,5521,1
1,2,5651,1
1,2,3076,1
1,1,2031,1
1,1,5624,1
1,5,4688,1
1,5,5195,1
1,1,2034,1
1,1,5607,1
1,1,5798,1
1,1,5941,1
1,1,5662,1
1,5,3009,1
1,5,5440,1
1,5,3330,1
1,5,5107,1
1,1,6116,1
2,2,5841,1
1,1,5639,1
1,2,5754,1
1,2,5728,1
1,1,5784,1
1,2,5732,1
1,2,5736,1
1,1,662,1
1,5,6420,1
1,2,5697,1
1,1,5999,1
1,2,5709,1
2,1,7129,1
1,5,5820,1
1,5,3398,1
1,5,5764,1
1,2,5789,1
1,2,5786,1
1,2,5917,1
1,2,5933,1
1,2,5834,1
1,2,5797,1
1,5,5496,1
1,5,5465,1
1,5,2097,1
1,1,6407,1
1,5,3496,1
1,5,3335,1
2,5,7582,1
1,2,4975,1
1,2,4931,1
1,2,5010,1
1,2,5112,1
2,5,2185,1
2,5,7764,1
1,5,5234,1
1,2,5154,1
1,5,4764,1
1,1,2988,1
1,5,5469,1
1,5,5224,1
1,5,5562,1
1,1,5356,1
1,5,2359,1
1,5,3679,1
1,2,4950,1
1,5,2247,1
1,5,2325,1
1,5,2477,1
1,5,5736,1
1,5,5259,1
1,5,5356,1
1,5,5764,1
2,1,567,1
1,3,6054,1
1,5,5872,1
1,5,6034,1
1,5,5828,1
1,5,5441,1
1,1,6047,1
1,5,5378,1
1,5,5289,1
1,5,5016,1
1,5,2088,1
1,0,4941,1
1,5,2338,1
1,2,1978,1
1,5,5056,1
1,5,5242,1
1,5,2923,1
1,5,5413,1
3,5,3415,1
1,5,5304,1
2,1,2180,1
1,1,5818,1
2,1,7049,1
1,5,5095,1
1,5,5515,1
1,1,8176,1
1,2,5707,1
1,1,6239,1
1,2,5850,1
1,5,2676,1
1,2,7708,1
1,5,5368,1
1,5,5291,1
1,5,5595,1
1,5,3147,1
1,0,2399,1
1,5,5325,1
1,5,5269,1
1,5,5468,1
1,5,3198,1
1,5,3692,1
1,5,5281,1
1,1,5339,1
1,2,5461,1
1,5,4590,1
1,5,5674,1
1,5,3120,1
1,2,4824,1
1,2,4983,1
2,5,4821,1
1,1,5827,1
1,5,3035,1
1,1,5945,1
1,5,3279,1
1,1,5275,1
1,2,14806,1
