Occupied storage,Stored count,Deleted count,Access count,Missed access count,Missed fraction
3606591956,13,0,0,0,0
3641385426,13,0,0,0,0
5280387484,13,0,0,0,0
7911644205,14,0,5,0,0
7938173177,14,0,5,0,0
8406123956,15,0,5,0,0
8844941468,15,0,5,0,0
11630313451,17,0,5,0,0
14485241302,17,0,5,0,0
14485241302,17,0,5,0,0
17956654950,17,0,5,0,0
18291250246,19,0,14,0,0
19758044693,20,0,14,0,0
20213292507,21,0,14,0,0
25402051572,21,0,14,0,0
29142038657,21,0,14,0,0
29142038657,21,0,14,0,0
32835756256,21,0,14,0,0
36588402109,25,0,14,0,0
37117113286,26,0,14,0,0
37551035729,27,0,20,0,0
42534985231,27,0,20,0,0
43047535487,27,0,20,0,0
43047535487,28,0,32,0,0
47001871172,28,0,32,0,0
47001871172,30,0,32,0,0
47118977114,31,0,32,0,0
47422932887,31,0,32,0,0
51117614282,31,0,32,0,0
56082002689,31,0,32,0,0
58901896346,31,0,32,0,0
64054653786,31,0,32,0,0
66707117160,31,0,32,0,0
66707117160,31,0,32,0,0
71637332763,36,0,32,0,0
72085989472,36,0,37,0,0
72560693542,36,0,37,0,0
72560693542,36,0,37,0,0
72845246019,38,0,41,0,0
77356074451,38,0,41,0,0
82355574302,38,0,43,0,0
87424089256,38,0,43,0,0
87424089256,39,0,43,0,0
87806789787,44,0,47,0,0
92905408405,44,0,47,0,0
93419449424,44,0,47,0,0
93419449424,44,0,47,0,0
93419449424,44,0,47,0,0
98656260135,46,0,47,0,0
99028602014,46,0,48,0,0
104010055224,46,0,48,0,0
107744029036,47,0,48,0,0
112796499930,47,0,48,0,0
112821989464,51,0,48,0,0
113214838790,51,0,48,0,0
113214838790,51,0,48,0,0
113653827414,51,0,48,0,0
118628158241,51,0,48,0,0
118628158241,52,0,48,0,0
118628158241,54,0,48,0,0
118756996139,54,0,48,0,0
119129896628,54,0,48,0,0
123901710040,54,0,48,0,0
126538158259,53,1,48,0,0
126538158259,54,1,48,0,0
126538260659,54,1,48,0,0
126361927601,57,3,48,0,0
126361927601,59,3,48,0,0
126361927601,59,3,48,0,0
126700626889,59,3,48,0,0
126700626889,59,3,48,0,0
126956858922,59,3,48,0,0
126956858922,61,3,48,0,0
127118613654,61,3,48,0,0
125799722117,59,5,48,0,0
126179629124,59,5,48,0,0
124921928246,57,7,48,0,0
124921928246,57,7,48,0,0
124921928246,61,7,48,0,0
126903271920,58,10,48,0,0
126903271920,58,10,48,0,0
126903271920,58,10,48,0,0
124467817701,55,13,48,0,0
125021446153,55,13,48,0,0
125790894815,54,14,48,0,0
126166813351,54,14,48,0,0
126166813351,55,14,48,0,0
126166813351,55,14,48,0,0
126547437152,57,14,57,5,0.08771929824561403
127169668890,56,15,57,5,0.08771929824561403
127883391964,55,17,57,5,0.08771929824561403
127883391964,56,17,57,5,0.08771929824561403
125794735059,60,19,57,5,0.08771929824561403
126187833086,60,19,60,5,0.08333333333333333
124099358961,58,21,60,5,0.08333333333333333
124528305273,58,21,69,12,0.17391304347826086
127926139428,58,22,69,12,0.17391304347826086
127926139428,61,22,72,15,0.20833333333333334
127936626826,62,22,72,15,0.20833333333333334
124019613145,62,24,78,18,0.23076923076923078
125410795626,62,24,87,19,0.21839080459770116
125444072756,62,24,88,19,0.2159090909090909
126864413970,62,24,88,19,0.2159090909090909
127238601281,62,24,88,19,0.2159090909090909
127417597570,64,24,88,19,0.2159090909090909
127596698717,65,24,88,19,0.2159090909090909
127805668912,65,24,90,19,0.2111111111111111
123131082008,64,25,102,19,0.18627450980392157
127920907915,65,25,112,19,0.16964285714285715
125474455079,65,26,124,27,0.21774193548387097
127810319337,65,27,129,27,0.20930232558139536
127892329821,64,28,133,27,0.20300751879699247
127812990442,63,29,163,27,0.1656441717791411
