Occupied storage,Stored count,Deleted count,Access count,Missed access count,Missed fraction
3606591956,13,0,0,0,0
3641385426,13,0,0,0,0
5280387484,13,0,0,0,0
7911644205,14,0,5,0,0
7938173177,14,0,5,0,0
8406123956,15,0,5,0,0
8844941468,15,0,5,0,0
11630313451,17,0,5,0,0
14485241302,17,0,5,0,0
14485241302,17,0,5,0,0
15527288743,15,2,5,0,0
15861884039,17,2,14,0,0
14473750635,17,3,14,0,0
14928998449,18,3,14,0,0
14872163500,16,5,14,0,0
15980893864,15,6,14,0,0
15980893864,15,6,14,0,0
13417825832,13,8,14,0,0
15677148266,15,10,14,0,0
15767041931,15,11,14,0,0
15672253197,15,12,20,0,0
14999492855,13,14,20,0,0
15512043111,13,14,20,0,0
15512043111,14,14,32,7,0.21875
15772661197,13,15,32,7,0.21875
15772661197,15,15,32,7,0.21875
15889767139,16,15,32,7,0.21875
12453735827,15,16,32,7,0.21875
15813821926,14,17,32,7,0.21875
11586367164,11,20,32,7,0.21875
14406260821,11,20,32,7,0.21875
15604682576,10,21,32,7,0.21875
12346284844,7,24,32,7,0.21875
12346284844,7,24,32,7,0.21875
12123743007,11,25,32,7,0.21875
12572399716,11,25,37,7,0.1891891891891892
13047103786,11,25,37,7,0.1891891891891892
13047103786,11,25,37,7,0.1891891891891892
13331656263,13,25,41,11,0.2682926829268293
12842984844,12,26,41,11,0.2682926829268293
15022591038,11,27,43,13,0.3023255813953488
12087365300,7,31,43,13,0.3023255813953488
12087365300,8,31,43,13,0.3023255813953488
12470065831,13,31,47,17,0.3617021276595745
13874003054,12,32,47,17,0.3617021276595745
14388044073,12,32,47,17,0.3617021276595745
14388044073,12,32,47,17,0.3617021276595745
14388044073,12,32,47,17,0.3617021276595745
14190665573,11,35,47,17,0.3617021276595745
14563007452,11,35,48,17,0.3541666666666667
14475945708,10,36,48,17,0.3541666666666667
12826748425,9,38,48,17,0.3541666666666667
12642408608,8,39,48,17,0.3541666666666667
12667898142,12,39,48,17,0.3541666666666667
13060747468,12,39,48,17,0.3541666666666667
13060747468,12,39,48,17,0.3541666666666667
13499736092,12,39,48,17,0.3541666666666667
12595872159,9,42,48,17,0.3541666666666667
12595872159,10,42,48,17,0.3541666666666667
12595872159,12,42,48,17,0.3541666666666667
12724710057,12,42,48,17,0.3541666666666667
13097610546,12,42,48,17,0.3541666666666667
12816953064,11,43,48,17,0.3541666666666667
14114000208,10,44,48,17,0.3541666666666667
14114000208,11,44,48,17,0.3541666666666667
14114102608,11,44,48,17,0.3541666666666667
13836690858,14,46,48,17,0.3541666666666667
13836690858,16,46,48,17,0.3541666666666667
13836690858,16,46,48,17,0.3541666666666667
14175390146,16,46,48,17,0.3541666666666667
14175390146,16,46,48,17,0.3541666666666667
14431622179,16,46,48,17,0.3541666666666667
14431622179,18,46,48,17,0.3541666666666667
14593376911,18,46,48,17,0.3541666666666667
13061973182,14,50,48,17,0.3541666666666667
13441880189,14,50,48,17,0.3541666666666667
13479499854,13,51,48,17,0.3541666666666667
13479499854,13,51,48,17,0.3541666666666667
13479499854,17,51,48,17,0.3541666666666667
11417961074,14,54,48,17,0.3541666666666667
11417961074,14,54,48,17,0.3541666666666667
11417961074,14,54,48,17,0.3541666666666667
15078034211,14,54,48,17,0.3541666666666667
15631662663,14,54,48,17,0.3541666666666667
15448327522,10,58,48,17,0.3541666666666667
15824246058,10,58,48,17,0.3541666666666667
15824246058,11,58,48,17,0.3541666666666667
15824246058,11,58,48,17,0.3541666666666667
15828951323,12,59,57,22,0.38596491228070173
15076260039,11,60,57,22,0.38596491228070173
12545935830,9,63,57,22,0.38596491228070173
12545935830,10,63,57,22,0.38596491228070173
15896476241,16,63,57,22,0.38596491228070173
12939033857,15,64,60,22,0.36666666666666664
15333606594,15,64,60,22,0.36666666666666664
