Occupied storage,Stored count,Deleted count,Access count,Missed access count,Missed fraction
3606591956,13,0,0,0,0
3641385426,13,0,0,0,0
5280387484,13,0,0,0,0
7911644205,14,0,5,0,0
7938173177,14,0,5,0,0
8406123956,15,0,5,0,0
8844941468,15,0,5,0,0
11630313451,17,0,5,0,0
14485241302,17,0,5,0,0
14485241302,17,0,5,0,0
15187174474,11,6,5,0,0
15521769770,13,6,14,0,0
14365603168,11,9,14,0,0
14820850982,12,9,14,0,0
14983780589,10,11,14,0,0
15938395691,9,12,14,0,0
15938395691,9,12,14,0,0
13305771791,7,14,14,0,0
12505352989,8,17,14,0,0
13034064166,9,17,14,0,0
13467986609,10,17,20,6,0.3
15799472737,9,18,20,6,0.3
13492129336,8,19,20,6,0.3
13492129336,9,19,32,13,0.40625
13635641480,7,21,32,13,0.40625
13635641480,9,21,32,13,0.40625
13752747422,10,21,32,13,0.40625
14056703195,10,21,32,13,0.40625
13752747422,8,23,32,13,0.40625
14977148744,7,24,32,13,0.40625
14044396548,6,25,32,13,0.40625
15242818303,5,26,32,13,0.40625
12965066074,4,27,32,13,0.40625
12965066074,4,27,32,13,0.40625
12461092466,6,30,32,13,0.40625
12909749175,6,30,37,13,0.35135135135135137
13384453245,6,30,37,13,0.35135135135135137
13384453245,6,30,37,13,0.35135135135135137
13669005722,8,30,41,17,0.4146341463414634
12930893270,6,32,41,17,0.4146341463414634
12946443619,5,33,43,17,0.3953488372093023
13015458722,4,34,43,17,0.3953488372093023
13015458722,5,34,43,17,0.3953488372093023
13398159253,10,34,47,21,0.44680851063829785
13866062509,7,37,47,21,0.44680851063829785
14380103528,7,37,47,21,0.44680851063829785
14380103528,7,37,47,21,0.44680851063829785
14380103528,7,37,47,21,0.44680851063829785
14270241533,7,39,47,21,0.44680851063829785
14642583412,7,39,48,21,0.4375
14642583412,6,40,48,21,0.4375
13298596796,5,42,48,21,0.4375
13282552736,4,43,48,21,0.4375
13308042270,8,43,48,21,0.4375
13700891596,8,43,48,21,0.4375
13700891596,8,43,48,21,0.4375
14139880220,8,43,48,21,0.4375
13510559685,5,46,48,21,0.4375
13510559685,6,46,48,21,0.4375
13510559685,8,46,48,21,0.4375
13639397583,8,46,48,21,0.4375
14012298072,8,46,48,21,0.4375
13251352141,5,49,48,21,0.4375
13213112141,4,50,48,21,0.4375
13213112141,5,50,48,21,0.4375
13213214541,5,50,48,21,0.4375
14027368639,6,54,48,21,0.4375
14027368639,8,54,48,21,0.4375
14027368639,8,54,48,21,0.4375
14366067927,8,54,48,21,0.4375
14366067927,8,54,48,21,0.4375
14622299960,8,54,48,21,0.4375
14622299960,10,54,48,21,0.4375
14784054692,10,54,48,21,0.4375
14830669557,7,57,48,21,0.4375
15210576564,7,57,48,21,0.4375
11672044271,5,59,48,21,0.4375
11672044271,5,59,48,21,0.4375
11672044271,9,59,48,21,0.4375
15181504834,9,59,48,21,0.4375
15181504834,9,59,48,21,0.4375
15181504834,9,59,48,21,0.4375
13596081646,6,62,48,21,0.4375
14149710098,6,62,48,21,0.4375
13858181622,5,63,48,21,0.4375
14234100158,5,63,48,21,0.4375
14234100158,6,63,48,21,0.4375
14234100158,6,63,48,21,0.4375
14614723959,8,63,57,28,0.49122807017543857
15199509084,6,65,57,28,0.49122807017543857
14608791727,5,67,57,28,0.49122807017543857
14608791727,6,67,57,28,0.49122807017543857
15712828188,8,71,57,28,0.49122807017543857
14685585001,7,72,60,31,0.5166666666666667
12290331831,6,73,60,31,0.5166666666666667
12719278143,6,73,69,40,0.5797101449275363
11188519798,5,75,69,40,0.5797101449275363
11188519798,8,75,72,43,0.5972222222222222
11199007196,9,75,72,43,0.5972222222222222
12758932178,11,75,78,49,0.6282051282051282
14150114659,11,75,87,58,0.6666666666666666
14183391789,11,75,88,59,0.6704545454545454
