Occupied storage,Stored count,Deleted count,Access count,Missed access count,Missed fraction
3606591956,13,0,0,0,0
3641385426,13,0,0,0,0
5280387484,13,0,0,0,0
7911644205,14,0,5,0,0
7938173177,14,0,5,0,0
8406123956,15,0,5,0,0
8844941468,15,0,5,0,0
11630313451,17,0,5,0,0
14485241302,17,0,5,0,0
14485241302,17,0,5,0,0
17956654950,17,0,5,0,0
18291250246,19,0,14,0,0
19758044693,20,0,14,0,0
20213292507,21,0,14,0,0
25402051572,21,0,14,0,0
29142038657,21,0,14,0,0
29142038657,21,0,14,0,0
28881420571,20,1,14,0,0
27481308984,23,2,14,0,0
28010020161,24,2,14,0,0
28443942604,25,2,20,0,0
30775428732,24,3,20,0,0
31287978988,24,3,20,0,0
31287978988,25,3,32,0,0
27340926667,22,6,32,0,0
27340926667,24,6,32,0,0
27458032609,25,6,32,0,0
27761988382,25,6,32,0,0
31456669777,25,6,32,0,0
27796161186,23,8,32,0,0
30616054843,23,8,32,0,0
29005723132,18,13,32,0,0
31658186506,18,13,32,0,0
31658186506,18,13,32,0,0
31588902258,22,14,32,0,0
26969044013,21,15,37,5,0.13513513513513514
27443748083,21,15,37,5,0.13513513513513514
27443748083,21,15,37,5,0.13513513513513514
27728300560,23,15,41,5,0.12195121951219512
27140510374,22,16,41,5,0.12195121951219512
31855457748,21,17,43,7,0.16279069767441862
31938440200,19,19,43,7,0.16279069767441862
31938440200,20,19,43,7,0.16279069767441862
28587166919,24,20,47,11,0.23404255319148937
28633314643,23,21,47,11,0.23404255319148937
29147355662,23,21,47,11,0.23404255319148937
29147355662,23,21,47,11,0.23404255319148937
29147355662,23,21,47,11,0.23404255319148937
29409835546,24,22,47,11,0.23404255319148937
29782177425,24,22,48,12,0.25
29409835546,22,24,48,12,0.25
26984767563,19,28,48,12,0.25
31588581748,18,29,48,12,0.25
31614071282,22,29,48,12,0.25
26975899652,21,30,48,12,0.25
26975899652,21,30,48,12,0.25
27414888276,21,30,48,12,0.25
27617405691,20,31,48,12,0.25
27617405691,21,31,48,12,0.25
27617405691,23,31,48,12,0.25
27746243589,23,31,48,12,0.25
28119144078,23,31,48,12,0.25
27821696534,22,32,48,12,0.25
31911990479,19,35,48,12,0.25
31911990479,20,35,48,12,0.25
31912092879,20,35,48,12,0.25
28252640077,23,37,48,12,0.25
28252640077,25,37,48,12,0.25
28252640077,25,37,48,12,0.25
28591339365,25,37,48,12,0.25
28591339365,25,37,48,12,0.25
28847571398,25,37,48,12,0.25
28847571398,27,37,48,12,0.25
29009326130,27,37,48,12,0.25
28597627550,26,38,48,12,0.25
28977534557,26,38,48,12,0.25
30156807608,24,40,48,12,0.25
30156807608,24,40,48,12,0.25
30156807608,28,40,48,12,0.25
28865303948,27,41,48,12,0.25
28865303948,27,41,48,12,0.25
28865303948,27,41,48,12,0.25
28209427748,26,42,48,12,0.25
28763056200,26,42,48,12,0.25
28083453060,22,46,48,12,0.25
28459371596,22,46,48,12,0.25
28459371596,23,46,48,12,0.25
28459371596,23,46,48,12,0.25
28839995397,25,46,57,16,0.2807017543859649
29324188136,24,47,57,16,0.2807017543859649
28834063165,22,50,57,16,0.2807017543859649
28834063165,23,50,57,16,0.2807017543859649
30793421095,28,51,57,16,0.2807017543859649
31186519122,28,51,60,19,0.31666666666666665
28559487097,26,53,60,19,0.31666666666666665
28988433409,26,53,69,21,0.30434782608695654
27656176789,25,55,69,21,0.30434782608695654
27656176789,28,55,72,21,0.2916666666666667
27666664187,29,55,72,21,0.2916666666666667
29226589169,31,55,78,24,0.3076923076923077
30617771650,31,55,87,32,0.367816091954023
30651048780,31,55,88,33,0.375
27119662154,30,56,88,33,0.375
27493849465,30,56,88,33,0.375
27672845754,32,56,88,33,0.375
27851946901,33,56,88,33,0.375
