Occupied storage,Stored count,Deleted count,Access count,Missed access count,Missed fraction
3606591956,13,0,0,0,0
3641385426,13,0,0,0,0
5280387484,13,0,0,0,0
7911644205,14,0,5,0,0
7938173177,14,0,5,0,0
8406123956,15,0,5,0,0
8844941468,15,0,5,0,0
11630313451,17,0,5,0,0
14485241302,17,0,5,0,0
14485241302,17,0,5,0,0
17956654950,17,0,5,0,0
18291250246,19,0,14,0,0
19758044693,20,0,14,0,0
20213292507,21,0,14,0,0
25402051572,21,0,14,0,0
29142038657,21,0,14,0,0
29142038657,21,0,14,0,0
32835756256,21,0,14,0,0
36588402109,25,0,14,0,0
37117113286,26,0,14,0,0
37551035729,27,0,20,0,0
42534985231,27,0,20,0,0
43047535487,27,0,20,0,0
43047535487,28,0,32,0,0
47001871172,28,0,32,0,0
47001871172,30,0,32,0,0
47118977114,31,0,32,0,0
47422932887,31,0,32,0,0
51117614282,31,0,32,0,0
56082002689,31,0,32,0,0
58901896346,31,0,32,0,0
61269281803,30,1,32,0,0
63921745177,30,1,32,0,0
63921745177,30,1,32,0,0
63852430243,31,5,32,0,0
63845839138,30,6,37,0,0
59336593706,29,7,37,0,0
59336593706,29,7,37,0,0
59621146183,31,7,41,0,0
60177638930,30,8,41,0,0
59778827931,28,10,43,0,0
62194879511,27,11,43,0,0
62194879511,28,11,43,0,0
62577580042,33,11,47,0,0
62412757746,30,14,47,0,0
62926798765,30,14,47,0,0
62926798765,30,14,47,0,0
62926798765,30,14,47,0,0
61122849896,27,19,47,0,0
61495191775,27,19,48,0,0
62206386206,25,21,48,0,0
63059942633,24,23,48,0,0
62016886171,21,26,48,0,0
62042375705,25,26,48,0,0
62435225031,25,26,48,0,0
62435225031,25,26,48,0,0
62874213655,25,26,48,0,0
62817523526,24,27,48,0,0
62817523526,25,27,48,0,0
62817523526,27,27,48,0,0
62946361424,27,27,48,0,0
63319261913,27,27,48,0,0
63021814369,26,28,48,0,0
60619130641,24,30,48,0,0
60619130641,25,30,48,0,0
60619233041,25,30,48,0,0
61252057542,28,32,48,0,0
61252057542,30,32,48,0,0
61252057542,30,32,48,0,0
61590756830,30,32,48,0,0
61590756830,30,32,48,0,0
61846988863,30,32,48,0,0
61846988863,32,32,48,0,0
62008743595,32,32,48,0,0
61217138008,30,34,48,0,0
61597045015,30,34,48,0,0
62578444487,28,36,48,0,0
62578444487,28,36,48,0,0
62578444487,32,36,48,0,0
61218327261,30,38,48,0,0
61218327261,30,38,48,0,0
61218327261,30,38,48,0,0
63837138965,28,40,48,0,0
59238009977,27,41,48,0,0
63747445724,27,41,48,0,0
61303470603,26,42,48,0,0
61303470603,27,42,48,0,0
61303470603,27,42,48,0,0
61684094404,29,42,57,5,0.08771929824561403
61787663342,27,44,57,5,0.08771929824561403
61541306020,26,46,57,5,0.08771929824561403
61541306020,27,46,57,5,0.08771929824561403
59708922497,31,48,57,5,0.08771929824561403
60102020524,31,48,60,5,0.08333333333333333
62496593261,31,48,60,5,0.08333333333333333
62925539573,31,48,69,12,0.17391304347826086
63062614776,31,49,69,12,0.17391304347826086
63062614776,34,49,72,15,0.20833333333333334
63073102174,35,49,72,15,0.20833333333333334
61045174477,36,50,78,18,0.23076923076923078
62436356958,36,50,87,19,0.21839080459770116
62469634088,36,50,88,19,0.2159090909090909
63889975302,36,50,88,19,0.2159090909090909
63775504679,34,52,88,19,0.2159090909090909
63954500968,36,52,88,19,0.2159090909090909
63908985721,36,53,88,19,0.2159090909090909
63908985721,35,54,90,19,0.2111111111111111
63912452187,34,55,102,19,0.18627450980392157
63633763140,34,56,112,19,0.16964285714285715
63633763140,34,57,124,27,0.21774193548387097
63622590921,34,58,129,27,0.20930232558139536
63821707347,34,58,133,27,0.20300751879699247
58947705123,33,59,163,27,0.1656441717791411
